"Name"	"time"	"Stream"	"avg_mgL"	"std_mgL"	"Std_p"	"ion"	"mw"	"mM"	"Recovery"	"plot"
"ID:4A"	4	"Permeate"	188.638557806913	0.0386282011971157	0.000204773624471063	"Cl"	35.45	5.32125691980008	40.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	4.5	"Permeate"	190.135379419944	0.0105349639628644	5.54076994770984e-05	"Cl"	35.45	5.36348037855979	45.9	"Ca, Cl, SiO2, SO4 "
"ID:4A"	5	"Permeate"	193.001390544299	0.0589957981919399	0.000305675508479815	"Cl"	35.45	5.44432695470518	51	"Ca, Cl, SiO2, SO4 "
"ID:4A"	6	"Permeate"	196.897894318633	0.04916316515996	0.000249688628362886	"Cl"	35.45	5.55424243494029	61.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1	"Perm spand"	141.75536352801	4.3818426776151	0.0309113007688721	"Cl"	35.45	3.99874086115683	10.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2	"Perm spand"	171.480234406039	0.0217722588565528	0.000126966579745859	"Cl"	35.45	4.83724215531845	20.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	4	"Perm spand"	185.562971791816	0.178392056437609	0.000961355892908139	"Cl"	35.45	5.23449849906391	40.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0	"Feed"	476.305555555556	0.310033201990788	0.000650912420345739	"SO4"	96.06	4.9584171929581	0	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.333333333333333	"Feed"	506.27151416122	0.154053764964446	0.000304290801783859	"SO4"	96.06	5.27036762607974	3.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.666666666666667	"Feed"	521.165305010893	10.6104530619223	0.0203590932855758	"SO4"	96.06	5.4254143765448	6.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1	"Feed"	540.146786492375	2.97708900793692	0.00551162958363532	"SO4"	96.06	5.62301464181111	10.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.33333333333333	"Feed"	561.252450980392	1.06682232237845	0.00190078871016944	"SO4"	96.06	5.84272799271697	13.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.66666666666667	"Feed"	570.833061002179	0.604661027485277	0.00105926069948315	"SO4"	96.06	5.94246367897334	17	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2	"Feed"	596.682734204793	0.327364250549226	0.000548640394271688	"SO4"	96.06	6.21156292114088	20.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.33333333333333	"Feed"	621.448529411765	0.858849739676476	0.00138201266722672	"SO4"	96.06	6.46937881961029	23.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.66666666666667	"Feed"	645.647875816994	1.55979437026439	0.00241585921473164	"SO4"	96.06	6.72129789524249	27.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3	"Feed"	679.139161220044	45.7655222267959	0.0673875471185907	"SO4"	96.06	7.06994754549286	30.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.33333333333333	"Feed"	684.988834422658	8.8234293883353	0.0128811287789415	"SO4"	96.06	7.13084358133102	34	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.66666666666667	"Feed"	727.279139433551	0.354323659418193	0.000487190736275156	"SO4"	96.06	7.57109243632679	37.4	"Ca, Cl, SiO2, SO4 "
