"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:6A"	7	"Feed"	"Mg"	20.1175	0.0121263496711499	24.305	0.827710347665089	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Permeate"	"Mg"	1.504	0.0883883476483185	24.305	0.061880271549064	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	0	"Feed"	"Mg"	31.738	0.00124765201797356	24.305	1.30582184735651	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	2	"Perm spand"	"Mg"	3.282	0.00215449963798456	24.305	0.135033943632997	10	20.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	4	"Perm spand"	"Mg"	4.238	0.00266958671519225	24.305	0.174367414112323	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Feed"	"Mg"	23.5115	0.0396688362879891	24.305	0.967352396626209	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Permeate"	"Mg"	2.775	0.0132502892330452	24.305	0.114174038263732	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Feed"	"Mg"	56.9175	0.0030437240109053	24.305	2.34180209833368	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Permeate"	"Mg"	4.2365	0.0225326131146428	24.305	0.174305698415964	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	0	"Feed"	"Mg"	1.163	0.238336937424872	24.305	0.047850236576836	8.5	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	2	"Perm spand"	"Mg"	0.369	0.199292968139298	24.305	0.0151820613042584	8.5	24	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	4	"Perm spand"	"Mg"	0.586	0.0748133454497712	24.305	0.0241102653774943	8.5	48	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Feed"	"Mg"	1.0365	0.0102330937943061	24.305	0.0426455461839128	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Permeate"	"Mg"	0.2855	0.156034070804737	24.305	0.0117465542069533	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Feed"	"Mg"	2.1075	0.0251639423909804	24.305	0.0867105533840773	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Permeate"	"Mg"	0.47	0.0571703355001889	24.305	0.0193375848590825	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	0	"Feed"	"Mg"	3.083	0.0720180114474784	24.305	0.126846327916067	8.45	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	2	"Perm spand"	"Mg"	0.9935	0.151599138794902	24.305	0.0408763628882946	8.45	24.1420118343195	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	4	"Perm spand"	"Mg"	1.459	0.0562195932951607	24.305	0.0600288006583008	8.45	48.2840236686391	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Feed"	"Mg"	2.98	0.0113896394285082	24.305	0.122608516766098	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Permeate"	"Mg"	0.83	0.0681548704758118	24.305	0.0341493519851882	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
